iter	MultiClass
0	0.6223981219
1	0.6110351307
2	0.5999043061
3	0.5957949733
4	0.5856296636
5	0.5778775291
6	0.569787372
7	0.5602407455
8	0.5494971036
9	0.5422895755
10	0.5319736702
11	0.5214548566
12	0.5130303754
13	0.5009373594
14	0.4916073158
15	0.4799159373
16	0.4721984134
17	0.4691397372
18	0.4658349745
19	0.4578781823
20	0.4501043688
21	0.4399283219
22	0.4370781134
23	0.431123164
24	0.4249269737
25	0.4183733711
26	0.411332536
27	0.406485468
28	0.40392492
29	0.3978107692
30	0.3921281707
31	0.3863277779
32	0.3792621282
33	0.37362375
34	0.3658343928
35	0.3573474261
36	0.3531491758
37	0.3481924877
38	0.3414218823
39	0.3348165901
40	0.3302235307
41	0.3250582311
42	0.3206578555
43	0.3142012436
44	0.3097000532
45	0.3055764942
46	0.3017951656
47	0.2973327581
48	0.2932994078
49	0.2895357184
50	0.2842053782
51	0.2804628929
52	0.2769736657
53	0.2717615134
54	0.2684546762
55	0.2636452394
56	0.260842143
57	0.2584330948
58	0.2553991205
59	0.2505544702
60	0.2478058352
61	0.2434751601
62	0.2400837086
63	0.2380349884
64	0.2341721583
65	0.2308115043
66	0.2284194932
67	0.2258776683
68	0.2235816415
69	0.219535511
70	0.2172944268
71	0.2142998675
72	0.2117677679
73	0.2080838476
74	0.2053172246
75	0.2032933015
76	0.1997246974
77	0.1977987602
78	0.196341265
79	0.1941683687
80	0.1911513909
81	0.1882239016
82	0.1860431877
83	0.183836252
84	0.1809860451
85	0.1788627346
86	0.1766894343
87	0.1751481265
88	0.1730598392
89	0.1710198869
90	0.1689339085
91	0.1670742499
92	0.1646451675
93	0.1624079883
94	0.1605966567
95	0.1593054259
96	0.1575601594
97	0.1562307789
98	0.1551828271
99	0.1535237867
100	0.1513660766
101	0.1497843056
102	0.1480508259
103	0.1466145662
104	0.1455298299
105	0.1443837562
106	0.1427731906
107	0.1410526848
108	0.1398587566
109	0.1378036037
110	0.1365526102
111	0.1353528058
112	0.1339327127
113	0.1329524821
114	0.1317512138
115	0.1303952017
116	0.1293652968
117	0.1277873384
118	0.1263024408
119	0.1251888098
120	0.1243868182
121	0.1229758809
122	0.1220239772
123	0.1210875544
124	0.1199327821
125	0.1192213348
126	0.1182251873
127	0.1172884102
128	0.1165527281
129	0.115254509
130	0.1142251569
131	0.1130207651
132	0.1122043978
133	0.1113954613
134	0.1104140297
135	0.109736316
136	0.1089370342
137	0.1084415534
138	0.1076447441
139	0.1069984291
140	0.1063597016
141	0.1053651612
142	0.1047916884
143	0.1044409819
144	0.1035734758
145	0.1025348406
146	0.1018528917
147	0.101190998
148	0.1005503907
149	0.0999602623
150	0.0993114701
151	0.09835277425
152	0.09766593312
153	0.0968438839
154	0.09621073326
155	0.09530863779
156	0.09473716789
157	0.09402493211
158	0.09352669289
159	0.09301334119
160	0.09248823704
161	0.09189121312
162	0.09121653943
163	0.09067948524
164	0.09013219689
165	0.08948386923
166	0.08896194692
167	0.08843575546
168	0.08791465538
169	0.0873662145
170	0.08691637745
171	0.08643890824
172	0.08573053669
173	0.08524384752
174	0.0846806002
175	0.08407032579
176	0.08326533089
177	0.08271294798
178	0.08227614391
179	0.08205016216
180	0.08176566455
181	0.08100169262
182	0.08058184612
183	0.080155467
184	0.0797468153
185	0.07923056512
186	0.07881898528
187	0.07832313812
188	0.07783385694
189	0.07723282009
190	0.07689334437
191	0.07621357225
192	0.07568687546
193	0.0753602434
194	0.07499471551
195	0.07463257935
196	0.07412722845
197	0.07368809503
198	0.07325445847
199	0.07283068406
