iter	Passed	Remaining
0	0	64
1	0	67
2	1	82
3	1	72
4	1	75
5	2	77
6	2	74
7	3	76
8	3	74
9	3	70
10	4	73
11	4	78
12	5	79
13	5	78
14	6	75
15	6	72
16	6	70
17	6	66
18	6	64
19	7	63
20	7	61
21	7	59
22	7	57
23	7	55
24	7	54
25	8	53
26	8	53
27	8	51
28	8	50
29	8	50
30	8	48
31	9	48
32	9	47
33	9	46
34	9	45
35	9	44
36	9	43
37	10	43
38	10	42
39	10	42
40	10	41
41	10	40
42	11	40
43	11	39
44	11	39
45	11	39
46	11	38
47	12	38
48	12	38
49	12	38
50	12	37
51	13	37
52	13	36
53	13	36
54	13	36
55	13	35
56	14	35
57	14	34
58	14	34
59	14	34
60	14	33
61	14	33
62	15	32
63	15	32
64	15	31
65	15	31
66	15	31
67	15	30
68	16	30
69	16	30
70	16	29
71	16	29
72	16	29
73	16	28
74	17	28
75	17	28
76	27	44
77	28	43
78	28	43
79	28	42
80	28	41
81	28	41
82	28	40
83	29	40
84	29	39
85	29	38
86	29	38
87	29	37
88	29	37
89	30	36
90	30	36
91	30	35
92	30	35
93	30	34
94	30	34
95	31	33
96	31	33
97	31	32
98	31	32
99	31	31
100	31	31
101	32	30
102	32	30
103	32	29
104	32	29
105	32	29
106	32	28
107	33	28
108	33	27
109	33	27
110	33	26
111	33	26
112	33	26
113	34	25
114	34	25
115	34	25
116	34	24
117	34	24
118	35	23
119	35	23
120	35	23
121	35	22
122	35	22
123	35	21
124	35	21
125	36	21
126	36	20
127	36	20
128	36	20
129	36	19
130	36	19
131	37	19
132	37	18
133	37	18
134	37	18
135	37	17
136	37	17
137	38	17
138	38	16
139	38	16
140	38	16
141	38	15
142	39	15
143	39	15
144	39	15
145	39	14
146	39	14
147	40	14
148	40	13
149	40	13
150	40	13
151	41	12
152	41	12
153	41	12
154	41	12
155	41	11
156	41	11
157	42	11
158	42	10
159	42	10
160	42	10
161	42	10
162	42	9
163	43	9
164	43	9
165	43	8
166	43	8
167	44	8
168	44	8
169	44	7
170	44	7
171	44	7
172	44	6
173	44	6
174	45	6
175	45	6
176	45	5
177	45	5
178	45	5
179	45	5
180	46	4
181	46	4
182	46	4
183	46	4
184	46	3
185	46	3
186	46	3
187	47	3
188	47	2
189	47	2
190	47	2
191	47	1
192	47	1
193	48	1
194	48	1
195	48	0
196	48	0
197	48	0
198	48	0
199	48	0
