iter	Passed	Remaining
0	0	151
1	0	89
2	1	72
3	1	58
4	1	51
5	1	45
6	1	40
7	1	38
8	1	36
9	1	34
10	1	32
11	1	30
12	2	30
13	2	28
14	2	27
15	2	27
16	2	26
17	2	25
18	2	25
19	2	25
20	2	25
21	3	25
22	3	24
23	3	24
24	3	24
25	3	23
26	3	23
27	3	22
28	3	22
29	3	21
30	4	21
31	4	21
32	4	21
33	4	21
34	4	20
35	4	20
36	4	20
37	5	23
38	5	23
39	5	23
40	5	22
41	5	22
42	6	22
43	6	21
44	6	21
45	6	21
46	6	21
47	6	20
48	6	20
49	6	20
50	6	20
51	7	19
52	7	19
53	7	19
54	7	19
55	7	19
56	7	19
57	8	19
58	8	19
59	8	19
60	8	19
61	8	19
62	9	19
63	9	19
64	9	19
65	9	19
66	9	19
67	9	18
68	9	18
69	9	18
70	10	18
71	10	18
72	10	17
73	10	17
74	10	17
75	10	17
76	11	17
77	11	17
78	11	17
79	11	17
80	11	17
81	12	17
82	12	17
83	12	17
84	12	16
85	12	16
86	12	16
87	12	16
88	12	15
89	12	15
90	12	15
91	13	15
92	13	15
93	13	14
94	13	14
95	13	14
96	13	14
97	13	14
98	13	14
99	13	13
100	13	13
101	14	13
102	14	13
103	14	13
104	14	12
105	14	12
106	14	12
107	14	12
108	14	12
109	15	12
110	15	12
111	15	11
112	15	11
113	15	11
114	15	11
115	15	11
116	15	11
117	16	11
118	16	10
119	16	10
120	16	10
121	16	10
122	16	10
123	16	10
124	16	10
125	16	9
126	16	9
127	17	9
128	17	9
129	17	9
130	17	9
131	17	8
132	17	8
133	17	8
134	17	8
135	17	8
136	17	8
137	18	8
138	18	7
139	18	7
140	18	7
141	18	7
142	18	7
143	18	7
144	18	7
145	18	6
146	18	6
147	18	6
148	18	6
149	19	6
150	19	6
151	19	6
152	19	5
153	19	5
154	19	5
155	19	5
156	19	5
157	19	5
158	19	5
159	20	5
160	20	4
161	20	4
162	20	4
163	20	4
164	20	4
165	20	4
166	20	4
167	21	4
168	21	3
169	21	3
170	21	3
171	21	3
172	21	3
173	21	3
174	21	3
175	22	3
176	22	2
177	22	2
178	22	2
179	22	2
180	22	2
181	22	2
182	22	2
183	22	1
184	23	1
185	23	1
186	23	1
187	23	1
188	23	1
189	23	1
190	23	1
191	23	0
192	24	0
193	24	0
194	24	0
195	24	0
196	24	0
197	24	0
198	24	0
199	24	0
